sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
261	20	0.8580333591	0.25	0.1483121219	0.4065217391	0.7121533535	0.8206080129
262	20	0.7328942166	0.1	0.04533492823	0.3217391304	0.8227605447	0.7591071807
263	20	0.7987057233	0.1	0.03468899522	0.3086956522	0.8156407947	0.7883460247
264	20	0.9057289224	0.15	0.08715914741	0.3913043478	0.7431658298	0.8632699562
265	20	0.8193066318	0	0.0001743408946	0.2456521739	0.8699072938	0.8011458955
266	20	0.7511022214	0.05	0.00490430622	0.3152173913	0.8275741449	0.7671974066
267	20	0.8016928595	0.2	0.1076487225	0.3456521739	0.77583522	0.7918624659
268	20	0.8230499763	0	0.007884082676	0.2782608696	0.8611885506	0.8022979435
269	20	0.7817952382	0.2	0.07751196172	0.3695652174	0.7308537577	0.7827336799
270	20	0.8106198	0.1	0.01922980067	0.35	0.7675953983	0.793556026
271	20	0.7911291144	0.1	0.05227272727	0.3282608696	0.7760007531	0.78160341
272	20	0.7915911065	0.15	0.1227072558	0.347826087	0.747534262	0.784167529
273	20	0.8723986504	0.2	0.1163875598	0.3934782609	0.7451152662	0.8318675098
274	20	0.7201051729	0.05	0.04031100478	0.2739130435	0.8576530114	0.7523137528
275	20	0.7352637015	0.15	0.1062835364	0.3652173913	0.7589253208	0.756599131
276	20	0.7089886444	0.15	0.106937799	0.35	0.7702496466	0.7483736234
277	20	0.7596916511	0.2	0.1459330144	0.3630434783	0.7640069057	0.7686016113
278	20	0.8106733813	0.15	0.1043062201	0.352173913	0.7708093389	0.7944978598
279	20	0.6716206916	0.15	0.04019138756	0.3239130435	0.7999593656	0.7335708676
280	20	0.7496573876	0.1	0.04533492823	0.3086956522	0.7977671901	0.763597078
281	20	0.8132309408	0.15	0.07486876005	0.3260869565	0.7854733201	0.7945638625
282	20	0.6510921575	0.05	0.01650717703	0.2913043478	0.8363578614	0.7268936929
283	20	0.8894017569	0.15	0.09100384841	0.3717391304	0.7451073055	0.8427653967
284	20	0.7051357195	0.15	0.08785376673	0.352173913	0.7759815167	0.7464968658
285	20	0.7607095451	0.2	0.1161483254	0.35	0.7801413915	0.7687664181
286	20	0.8407805061	0.2	0.1160287081	0.4130434783	0.7364966112	0.8079848944
287	20	0.811139527	0.2	0.1313280902	0.3913043478	0.7615347702	0.7926274367
288	20	0.8168944102	0.1	0.08533115084	0.3326086957	0.7546551625	0.7961719743
289	20	0.7894714763	0.05	0.02846889952	0.2847826087	0.8421977785	0.7851311671
290	20	0.6918075757	0.05	0.01708831335	0.3282608696	0.829943765	0.7399878642
291	20	0.8702581722	0.2	0.1465311005	0.3391304348	0.7702510299	0.8248522285
292	20	0.777309515	0.15	0.1174641148	0.3847826087	0.7649155972	0.7788083909
293	20	0.6343863098	0.05	0.02211594961	0.2956521739	0.8111400606	0.7211747655
294	20	0.8126560601	0.15	0.1320467621	0.3326086957	0.7760544864	0.7966993048
295	20	0.6705254806	0.05	0.009316906547	0.2782608696	0.8357205045	0.7362303028
296	20	0.7995593547	0.2	0.09077623669	0.4456521739	0.738076422	0.7884056033
297	20	0.8051536943	0.15	0.0735645933	0.3717391304	0.7778687923	0.7893663253
298	20	0.7023433226	0.05	0.02015913449	0.2891304348	0.8038348239	0.746944467
299	20	0.8504513093	0.15	0.06169488406	0.3391304348	0.7964886676	0.8180264674
300	20	0.8216121222	0.15	0.1088516746	0.3456521739	0.7723391414	0.799124169
301	20	0.7559154454	0.15	0.06686602871	0.3695652174	0.7716480544	0.7645318524
302	20	0.7634541141	0.15	0.05417498014	0.3956521739	0.750749871	0.770787468
303	20	0.7388678306	0.2	0.1266678612	0.4391304348	0.7087486641	0.7619857924
304	20	0.8008546024	0.1	0.03684065242	0.2739130435	0.8261816907	0.7887122961
305	20	0.7961896065	0.1	0.08264872247	0.352173913	0.782927323	0.788846498
306	20	0.8389548386	0.1	0.08103267923	0.352173913	0.7745686029	0.8073267269
307	20	0.7961078378	0	0.02443678205	0.3	0.8129065082	0.7870095928
308	20	0.7768715998	0.05	0.0361074521	0.297826087	0.8058964962	0.7766226822
309	20	0.7383612938	0.15	0.101076555	0.3847826087	0.7490211265	0.7574346325
310	20	0.7032444268	0	0.0002259974559	0.2434782609	0.8687056581	0.7481811499
311	20	0.7841668474	0.1	0.08492822967	0.3043478261	0.8337240231	0.7790950823
312	20	0.8143355899	0.15	0.1222488038	0.347826087	0.784232037	0.7955981466
313	20	0.7329636608	0.05	0.04495912675	0.3065217391	0.8180832612	0.757362309
314	20	0.8116677939	0.25	0.1296518348	0.4282608696	0.6908527614	0.7939713171
