sample	selected_count	subset_diversity	domain_pass_rate	mean_constraint_score	mean_conservation_score	mean_novelty_score	mean_uniqueness_score
278	20	0.4076501059	1	0.7004098361	0.9913043478	0.236369736	0.433796781
279	20	0.4117665775	1	0.6032786885	0.9826086957	0.2165933439	0.4347600577
280	20	0.4581703989	1	0.7360655738	0.9826086957	0.260564923	0.4572448032
281	20	0.4071970634	1	0.7725409836	0.997826087	0.249740546	0.4322723535
282	20	0.454414809	1	0.6655737705	0.9782608696	0.2454196503	0.4560973092
283	20	0.446394018	1	0.6860655738	0.9891304348	0.2714923446	0.4501966399
284	20	0.3652108607	1	0.7586065574	0.997826087	0.2121973604	0.415092534
285	20	0.4605575678	1	0.6971311475	0.9826086957	0.2913928724	0.4594674109
286	20	0.4923022058	1	0.6209016393	0.9695652174	0.296305556	0.4757130931
287	20	0.428288318	1	0.7196721311	0.9826086957	0.2464617076	0.441399879
288	20	0.4571425397	1	0.5807377049	0.9804347826	0.2805211553	0.457819214
289	20	0.4681298519	1	0.6180327869	0.9717391304	0.2666518724	0.4614681054
290	20	0.4871026045	1	0.7073770492	0.9804347826	0.2962823871	0.4718704045
291	20	0.3846329099	1	0.6495901639	0.9913043478	0.2095613716	0.4247347155
292	20	0.4152894154	1	0.7352459016	0.9891304348	0.2151409598	0.4377062371
293	20	0.4399572898	1	0.7168032787	0.9782608696	0.2651269722	0.448141994
294	20	0.4379910413	1	0.6508196721	0.9760869565	0.2617025869	0.4491828415
295	20	0.4840334552	1	0.6668032787	0.9847826087	0.265991923	0.4711451773
296	20	0.3804505747	1	0.7106557377	0.9956521739	0.2223251052	0.4227410271
297	20	0.5041367227	1	0.65	0.9760869565	0.2827531967	0.4831378989
298	20	0.465159185	1	0.7290983607	0.9891304348	0.2734904953	0.4628327458
299	20	0.4378528309	1	0.668442623	0.9826086957	0.2565732268	0.4474170296
300	20	0.4203861374	1	0.6950819672	0.9891304348	0.2172379473	0.4383165784
301	20	0.4013898197	1	0.725	0.9956521739	0.2211846158	0.4333988634
302	20	0.3997426877	1	0.7348360656	0.9913043478	0.235245497	0.4307681731
303	20	0.4171290406	1	0.7737704918	0.9913043478	0.2409244775	0.4378145067
304	20	0.5157520279	1	0.6680327869	0.9891304348	0.2944986258	0.4878115815
305	20	0.4381912312	1	0.7032786885	0.9956521739	0.2702526885	0.44749967
306	20	0.421406591	1	0.7147540984	0.9913043478	0.2529641689	0.4371123474
307	20	0.3657215185	1	0.7295081967	0.9913043478	0.2122336121	0.4152179172
308	20	0.512233123	1	0.6680327869	0.9760869565	0.3005589093	0.4885835913
309	20	0.5063422944	1	0.5077868852	0.9695652174	0.2884000359	0.4800508914
310	20	0.3956119728	1	0.7110655738	0.9913043478	0.2366619472	0.4287162421
311	20	0.375515737	1	0.7151639344	0.9934782609	0.2134234364	0.420086239
312	20	0.4432717778	1	0.6229508197	0.9956521739	0.2734827826	0.4521441874
313	20	0.4767299384	1	0.6049180328	0.9739130435	0.2973621724	0.468154442
314	20	0.4175942505	1	0.7471311475	0.9847826087	0.2206865503	0.4376556535
315	20	0.4253267257	1	0.7114754098	0.9934782609	0.2490831944	0.4411563075
316	20	0.4582539656	1	0.6426229508	0.9891304348	0.2925701725	0.4593640485
317	20	0.4427702945	1	0.6795081967	0.9891304348	0.2696206757	0.4506955102
318	20	0.4248048226	1	0.6516393443	0.9782608696	0.2489334872	0.443224913
319	20	0.4148513997	1	0.7143442623	0.9847826087	0.2397661679	0.4371107829
320	20	0.4080975465	1	0.7504098361	0.9891304348	0.2259399043	0.434482975
321	20	0.4097657825	1	0.6426229508	0.9847826087	0.2380148822	0.437682184
322	20	0.4279982155	1	0.6893442623	0.9891304348	0.2620008931	0.4447806432
323	20	0.4477291792	1	0.6975409836	0.9847826087	0.2769248587	0.4534500902
324	20	0.4596289065	1	0.7278688525	0.9804347826	0.2655567908	0.4559814508
325	20	0.413877533	1	0.7110655738	0.9913043478	0.2419785957	0.4346602112
326	20	0.4498261369	1	0.581147541	0.9826086957	0.2671280482	0.4538777555
327	20	0.453558443	1	0.6762295082	0.9760869565	0.2449759631	0.4544110683
328	20	0.3636455702	1	0.7897540984	0.997826087	0.2040812713	0.4158791711
329	20	0.4127501056	1	0.7426229508	1	0.2384103609	0.4352460386
330	20	0.4890112655	1	0.5909836066	0.9934782609	0.2849631362	0.4717382347
331	20	0.4386491499	1	0.5696721311	0.9847826087	0.2624149828	0.446147201
332	20	0.433187673	1	0.6258196721	0.9934782609	0.2243865221	0.4429769561
333	20	0.4982017594	1	0.7532786885	0.9913043478	0.2846494645	0.4768978413
334	20	0.4572365205	1	0.6504098361	0.9913043478	0.2687545953	0.4552940928
335	20	0.4477722027	1	0.6754098361	0.9847826087	0.2687069191	0.4536418714
336	20	0.4001786092	1	0.6151639344	0.9913043478	0.2226468044	0.4303165946
337	20	0.4419384841	1	0.6581967213	0.997826087	0.2656678193	0.449283234
338	20	0.4483608603	1	0.7606557377	0.9913043478	0.2753975428	0.4540589948
339	20	0.4090823931	1	0.6581967213	0.9804347826	0.227506736	0.4375347644
